frame	position	phase	lumen_area	lumen_circumf	longest_distance	shortest_distance	elliptic_ratio	vector_length	vector_angle	measurement_1	measurement_2	pullback_speed	pullback_start_frame	frame_rate
139	4.65	-	7.27	9.59	3.19	2.85	1.12	0.80	261.58					
140	4.68	-	7.76	9.89	3.22	3.07	1.05	0.80	262.88					
141	4.71	-	8.41	10.31	3.47	3.08	1.13	0.86	256.62					
142	4.75	-	7.87	10.00	3.34	2.97	1.12	0.85	237.90					
143	4.78	-	8.26	10.23	3.47	3.05	1.14	0.76	233.78					
144	4.81	-	8.56	10.44	3.61	3.01	1.20	0.70	233.27					
145	4.85	-	8.76	10.59	3.73	2.98	1.25	0.62	237.79					
146	4.88	-	8.59	10.47	3.64	2.96	1.23	0.62	234.93					
147	4.91	-	8.52	10.42	3.61	3.01	1.20	0.57	237.96					
148	4.95	-	8.80	10.57	3.60	3.06	1.18	0.61	235.73					
149	4.98	-	9.08	10.74	3.63	3.16	1.15	0.69	243.42					
150	5.02	-	8.06	10.13	3.40	2.95	1.15	0.79	251.30					
151	5.05	-	7.57	9.80	3.26	2.88	1.13	0.95	256.11					
152	5.08	-	7.76	9.90	3.23	3.01	1.07	0.91	254.93					
153	5.12	-	8.60	10.45	3.51	3.04	1.15	0.90	250.39					
154	5.15	-	8.60	10.46	3.57	3.01	1.19	0.89	238.72					
155	5.18	-	8.86	10.62	3.68	3.03	1.21	0.80	237.82					
156	5.22	-	8.88	10.66	3.68	2.98	1.24	0.75	237.00					
157	5.25	-	9.19	10.85	3.74	3.04	1.23	0.74	237.47					
158	5.28	-	8.96	10.71	3.69	3.00	1.23	0.69	239.80					
159	5.32	-	9.07	10.76	3.72	3.05	1.22	0.73	237.95					
160	5.35	-	8.95	10.69	3.70	3.02	1.22	0.79	240.25					
161	5.39	-	8.47	10.38	3.53	2.97	1.19	0.79	239.28					
162	5.42	-	8.33	10.30	3.54	2.98	1.19	0.89	252.76					
163	5.45	-	7.79	9.93	3.37	2.98	1.13	0.99	261.79					
164	5.49	-	8.13	10.13	3.33	3.09	1.08	0.98	255.86					
165	5.52	-	8.03	10.07	3.35	3.01	1.11	0.89	247.21					
166	5.55	-	8.30	10.26	3.48	2.96	1.18	0.88	235.71					
167	5.59	-	8.35	10.32	3.60	2.95	1.22	0.79	238.03					
168	5.62	-	8.81	10.61	3.65	2.98	1.22	0.73	236.51					
169	5.66	-	8.81	10.59	3.63	3.02	1.20	0.71	238.04					
170	5.69	-	9.19	10.86	3.72	3.03	1.23	0.73	238.66					
171	5.72	-	9.11	10.78	3.72	3.04	1.22	0.73	239.34					
172	5.76	-	9.14	10.78	3.68	3.08	1.20	0.81	240.08					
173	5.79	-	7.81	9.97	3.41	2.91	1.17	0.85	246.76					
174	5.82	-	9.01	10.68	3.65	3.16	1.15	1.00	264.84					
175	5.86	-	7.19	9.54	3.09	2.91	1.06	0.88	262.22					
176	5.89	-	8.70	10.52	3.51	3.06	1.15	0.98	262.56					
177	5.92	-	8.29	10.25	3.46	3.09	1.12	0.92	248.67					
178	5.96	-	8.68	10.50	3.56	3.07	1.16	0.94	241.35					
179	5.99	-	9.38	10.94	3.79	3.11	1.22	0.93	243.42					
180	6.03	-	9.46	11.04	3.81	3.06	1.25	0.89	246.72					
181	6.06	-	10.14	11.43	3.89	3.23	1.20	0.91	248.42					
182	6.09	-	9.35	10.97	3.78	3.11	1.21	0.87	250.01					
183	6.13	-	10.59	11.67	3.95	3.33	1.18	0.90	250.06					
184	6.16	-	8.15	10.20	3.50	2.88	1.22	0.83	248.12					
185	6.19	-	8.38	10.36	3.59	2.87	1.25	0.94	263.67					
186	6.23	-	9.26	10.86	3.74	3.15	1.19	1.17	276.75					
187	6.26	-	6.86	9.35	3.12	2.76	1.13	0.96	269.64					
188	6.29	-	8.84	10.60	3.55	3.05	1.16	1.01	269.41					
189	6.33	-	8.98	10.72	3.75	3.06	1.22	1.04	258.17					
190	6.36	-	9.42	10.97	3.83	3.09	1.24	1.04	255.69					
191	6.40	-	9.93	11.32	3.93	3.06	1.28	0.98	251.72					
192	6.43	-	11.31	12.20	4.16	3.27	1.27	1.10	252.72					
193	6.46	-	12.24	12.80	4.42	3.45	1.28	1.16	248.47					
194	6.50	-	12.95	13.25	4.69	3.44	1.36	1.24	248.41					
195	6.53	-	11.74	12.29	4.25	3.54	1.20	1.08	252.73					
196	6.56	-	9.50	11.03	3.81	3.12	1.22	1.01	256.41					
197	6.60	-	9.84	11.24	3.78	3.19	1.18	1.15	265.71					
198	6.63	-	11.17	12.01	4.18	3.40	1.23	1.49	275.00					
199	6.66	-	9.22	11.11	4.12	2.87	1.43	1.46	271.23					
200	6.70	-	11.55	12.15	3.95	3.77	1.05	1.38	271.20					
201	6.73	-	11.17	11.99	4.18	3.45	1.21	1.50	259.36					
202	6.77	-	12.83	13.18	4.73	3.53	1.34	1.57	251.48					
203	6.80	-	13.01	13.16	4.56	3.64	1.25	1.43	249.30					
204	6.83	-	13.69	13.72	4.87	3.62	1.35	1.46	246.31					
205	6.87	-	14.54	14.11	5.14	3.78	1.36	1.44	244.81					
206	6.90	-	14.06	13.71	4.92	3.84	1.28	1.29	246.04					
207	6.93	-	14.08	13.52	4.74	3.94	1.20	1.15	251.16					
208	6.97	-	10.24	11.44	3.72	3.38	1.10	1.11	258.46					
209	7.00	-	12.26	12.48	4.26	3.72	1.15	1.17	267.70					
210	7.04	-	10.22	11.41	3.70	3.52	1.05	1.38	278.91					
211	7.07	-	9.86	11.26	3.85	3.27	1.18	1.50	273.08					
212	7.10	-	12.81	12.79	4.29	3.85	1.12	1.43	271.07					
213	7.14	-	12.61	12.67	4.09	3.94	1.04	1.53	257.81					
214	7.17	-	13.84	13.34	4.52	3.96	1.14	1.51	253.84					
215	7.20	-	13.53	13.19	4.46	3.89	1.15	1.37	253.58					
216	7.24	-	14.03	13.51	4.65	3.95	1.18	1.18	254.38					
217	7.27	-	13.78	13.91	4.98	3.80	1.31	1.21	258.26					
218	7.30	-	11.99	12.30	4.08	3.78	1.08	0.93	270.07					
219	7.34	-	11.85	12.29	4.02	3.75	1.07	0.95	271.83					
220	7.37	-	10.33	11.46	3.83	3.38	1.13	1.06	287.92					
221	7.41	-	10.90	11.80	3.87	3.55	1.09	1.15	302.55					
222	7.44	-	9.32	10.87	3.66	3.18	1.15	1.26	307.99					
